City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
318,Samarai,PG,-10.6167,150.6667,84.45,71,60,12.91,broken clouds
319,Vertou,FR,47.1687,-1.4693,39.2,87,0,3.44,clear sky
320,Ust-Nera,RU,64.5667,143.2,23.27,85,100,6.42,overcast clouds
321,Ayorou,NE,14.7308,0.9174,84.79,36,32,6.53,scattered clouds
322,Ewa Beach,US,21.3156,-158.0072,78.8,57,1,10.36,clear sky
323,Canavieiras,BR,-15.675,-38.9472,74.43,90,43,3.94,scattered clouds
324,Cabinda,AO,-5.55,12.2,79.34,86,100,3.96,heavy intensity rain
325,Sioux Lookout,CA,50.1001,-91.917,26.6,80,90,5.75,light snow
326,Barentu,ER,15.1139,37.5928,83.52,27,2,10.92,clear sky
327,Porto De Moz,BR,-1.7483,-52.2383,71.47,99,100,1.9,overcast clouds
328,Skelleftea,SE,64.7507,20.9528,44.01,80,0,3.44,clear sky
329,Katav-Ivanovsk,RU,54.7531,58.1956,32.77,34,58,7.29,broken clouds
330,Bone,DE,51.9669,12.1396,39.99,96,94,3.91,overcast clouds
331,Monteagudo,BO,-19.8167,-63.9833,64.81,95,96,1.83,overcast clouds
332,Caravelas,BR,-17.7125,-39.2481,72.91,94,51,5.93,broken clouds
333,Kirakira,SB,-10.4544,161.9205,84.74,72,100,5.7,moderate rain
334,Sabha,LY,27.0377,14.4283,65.16,57,20,16.89,few clouds
335,Rocha,UY,-34.4833,-54.3333,56.98,91,78,5.35,broken clouds
336,Nikolayevka,RU,53.1257,47.2041,44.2,70,100,15.52,light rain
337,Fort Nelson,CA,58.8053,-122.7002,42.8,45,1,1.39,clear sky
338,Auki,SB,-8.7676,160.7034,84.51,72,93,2.24,overcast clouds
339,Payo,ID,-3.7508,103.6372,85.41,71,66,1.01,broken clouds
340,Lockerbie,GB,55.123,-3.3564,44.01,76,72,1.99,broken clouds
341,Wagar,SD,16.1525,36.2032,83.41,51,0,8.63,clear sky
342,Mae Sai,TH,20.4335,99.8762,82.4,78,75,4.61,broken clouds
343,Parauna,BR,-16.9478,-50.4486,67.37,83,5,2.62,clear sky
344,Fillmore,US,43.6666,-92.1002,42.8,81,75,12.66,light rain
345,Kaitangata,NZ,-46.2817,169.8464,61.59,57,25,9.93,scattered clouds
346,Port Lincoln,AU,-34.7333,135.8667,66.36,53,27,16.89,scattered clouds
347,Mineiros,BR,-17.5694,-52.5511,68.63,71,55,2.21,broken clouds
348,Hovd,MN,48.0056,91.6419,56.14,15,85,9.73,overcast clouds
