City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
331,Monteagudo,BO,64.81,overcast clouds,-19.8167,-63.9833,"Residencial ""OLIVIA"""
332,Caravelas,BR,72.91,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
333,Kirakira,SB,84.74,moderate rain,-10.4544,161.9205,SanBiz Lodge
334,Sabha,LY,65.16,few clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
335,Rocha,UY,56.98,broken clouds,-34.4833,-54.3333,Beleza Pura B&B
338,Auki,SB,84.51,overcast clouds,-8.7676,160.7034,Auki Motel
342,Mae Sai,TH,82.4,broken clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
343,Parauna,BR,67.37,clear sky,-16.9478,-50.4486,Hotel Serras de Paraúna
345,Kaitangata,NZ,61.59,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
346,Port Lincoln,AU,66.36,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
347,Mineiros,BR,68.63,broken clouds,-17.5694,-52.5511,Pilões Palace Hotel
348,Hovd,MN,56.14,overcast clouds,48.0056,91.6419,Hotel Khovd
351,Harper,LR,80.28,light rain,4.375,-7.7169,Screensaver
354,Katsuura,JP,71.01,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
355,Onguday,RU,51.64,overcast clouds,50.75,86.15,"Gostinitsa ""Motel'"""
356,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
358,Tuatapere,NZ,60.01,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
359,Porto Velho,BR,75.2,light rain,-8.7619,-63.9039,Hotel Central
364,Saint-Pierre,RE,77.0,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
366,Lompoc,US,51.8,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
367,Alugan,PH,74.68,moderate rain,12.2188,125.4808,JM Lodge
369,Campina Verde,BR,66.61,scattered clouds,-19.5356,-49.4864,Hotel Lino
372,Nouadhibou,MR,63.79,clear sky,20.930999999999997,-17.0347,El Medina
375,Vila Franca Do Campo,PT,59.0,few clouds,37.7167,-25.4333,Pestana Bahia Praia
377,Richards Bay,ZA,62.37,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
379,Nukus,UZ,68.0,few clouds,42.4531,59.6103,Hotel Jipek Joli
380,Saint-Georges,GD,78.62,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
383,Awbari,LY,64.13,clear sky,26.5921,12.7805,فندق أوباري
